url,title,img_url,year,rating,ratings_num,5_star,4_star,3_star,2_star,1_star,imdb_id
https://movie.douban.com/subject/25794302/,分歧者3：忠诚世界 The Divergent Series: Allegiant,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2354368180.jpg,2016,5.7,24080,4.50%,14.80%,49.00%,25.10%,0.065,tt3410834
https://movie.douban.com/subject/21264283/,钢刀,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2325714098.jpg,2016,4,2819,7.20%,5.90%,13.20%,27.90%,0.459,
https://movie.douban.com/subject/24743728/,夜孔雀,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2350515472.jpg,2015,4.7,21532,5.40%,10.40%,23.10%,33.40%,0.276,tt4310356
https://movie.douban.com/subject/25922900/,708090之深圳恋歌,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2350704558.jpg,2016,2.9,823,3.00%,0.60%,8.30%,15.20%,0.73,
https://movie.douban.com/subject/26766405/,死亡笔记,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2351106879.jpg,2016,2.5,689,1.40%,0.70%,3.50%,8.40%,0.86,
https://movie.douban.com/subject/25853051/,整形师·脸,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2342386326.jpg,2014,3.3,267,4.20%,2.40%,12.70%,17.00%,0.636,
https://movie.douban.com/subject/25922259/,在雨中,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2347505338.jpg,2016,3.6,46,6.90%,0.00%,13.80%,24.10%,0.552,
https://movie.douban.com/subject/26793348/,自我救赎,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2352076326.jpg,2016,3.2,132,5.30%,0.00%,9.30%,21.30%,0.64,
https://movie.douban.com/subject/21441132/,爱丽丝梦游仙境2：镜中奇遇记 Alice Through the Looking Glass,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2349374680.jpg,2016,6.6,67884,10.10%,28.00%,47.30%,12.50%,0.021,tt2567026
https://movie.douban.com/subject/7161697/,午夜寻访录,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2325586694.jpg,2016,3.1,343,3.60%,1.80%,7.20%,20.30%,0.671,
https://movie.douban.com/subject/26745066/,隔壁惊魂,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2328745784.jpg,2016,2.8,371,4.20%,0.80%,2.50%,17.60%,0.748,
https://movie.douban.com/subject/26259677/,垫底辣妹 ビリギャル,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2329080834.jpg,2015,8.1,130789,32.10%,44.90%,20.50%,2.00%,0.004,tt4195368
https://movie.douban.com/subject/25777636/,奇幻森林 The Jungle Book,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2326337223.jpg,2016,7.8,146780,22.30%,48.00%,26.80%,2.50%,0.004,tt3040964
https://movie.douban.com/subject/25881781/,纽约纽约,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2324916383.jpg,2016,5.4,11698,4.40%,13.30%,39.30%,31.50%,0.115,tt5576336
https://movie.douban.com/subject/26315270/,冰河追凶,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2325669527.jpg,2016,5.7,14302,3.80%,14.50%,49.10%,26.80%,0.058,tt5714554
https://movie.douban.com/subject/25762270/,不朽的时光,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2327510508.jpg,2016,6.5,3923,13.70%,25.80%,37.70%,16.20%,0.067,tt5649362
https://movie.douban.com/subject/6876154/,国家利益 Hamilton: I nationens interesse,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2329640178.jpg,2012,6.7,5275,8.30%,29.70%,50.30%,10.10%,0.017,tt1856014
https://movie.douban.com/subject/26769734/,夺命推理,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2332124951.jpg,2016,3.9,79,13.90%,2.80%,11.10%,8.30%,0.639,
https://movie.douban.com/subject/10791575/,猎神：冬日之战 The Huntsman: Winter's War,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2326492532.jpg,2016,5.4,20666,3.20%,10.20%,46.30%,32.60%,0.077,tt2381991
https://movie.douban.com/subject/26012321/,我的新野蛮女友 ???? ?? 2,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2339686339.jpg,2016,3.4,10514,4.20%,2.70%,9.60%,23.50%,0.6,tt4080594
https://movie.douban.com/subject/26290367/,谁的青春不迷茫,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2332755749.jpg,2016,6.4,40886,10.00%,26.20%,44.50%,14.20%,0.051,tt5769516
https://movie.douban.com/subject/11625312/,刑警兄弟 神獸巴打,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2328683485.jpg,2016,5.1,4677,3.70%,9.60%,40.60%,32.60%,0.134,tt5617254
https://movie.douban.com/subject/26591459/,失眠男女,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2326393907.jpg,2016,2.9,407,2.20%,0.70%,6.60%,19.40%,0.711,tt5769560
https://movie.douban.com/subject/26756531/,女神时代,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2335742017.jpg,2016,2.6,115,4.00%,1.30%,1.30%,6.70%,0.867,
https://movie.douban.com/subject/26756174/,我的1000万,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2336593762.jpg,2016,5.8,74,23.30%,14.00%,20.90%,11.60%,0.302,
https://movie.douban.com/subject/26445861/,恐怖照相机,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2341967232.jpg,2015,2.5,691,1.40%,0.90%,3.30%,8.40%,0.86,
https://movie.douban.com/subject/26322792/,北京遇上西雅图之不二情书,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2336879398.jpg,2016,6.5,144211,10.70%,27.30%,41.80%,15.80%,0.044,tt4960242
https://movie.douban.com/subject/26220725/,魔宫魅影,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2331558412.jpg,2016,4.7,8797,3.00%,6.90%,31.50%,37.90%,0.207,tt5639650
https://movie.douban.com/subject/26389697/,大唐玄奘,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2339564405.jpg,2016,5.2,16382,6.40%,12.80%,33.80%,28.20%,0.188,tt5684550
https://movie.douban.com/subject/26299410/,梦想合伙人,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2340134467.jpg,2016,3.9,22180,2.20%,4.10%,19.40%,34.00%,0.403,tt5190872
https://movie.douban.com/subject/26630850/,马小乐之玩具也疯狂,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2332776731.jpg,2015,3.5,280,5.20%,5.20%,9.90%,20.90%,0.587,
https://movie.douban.com/subject/26673947/,超级保镖,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2366827948.jpg,2016,5.2,2296,6.80%,11.90%,35.00%,27.10%,0.192,tt4970038
https://movie.douban.com/subject/26337866/,路边野餐,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2366570716.jpg,2015,7.7,57839,24.00%,45.50%,23.00%,5.20%,0.023,tt4613272
https://movie.douban.com/subject/26341315/,超能太阳鸭 Крякнутые каникулы,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2364994407.jpg,2016,4.9,769,7.30%,8.10%,30.60%,29.50%,0.245,tt3723780
https://movie.douban.com/subject/26694683/,笔仙撞碟仙,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2364446683.jpg,2016,2.4,1382,2.10%,0.60%,1.80%,6.60%,0.889,
https://movie.douban.com/subject/26745210/,假装看不见之电影大师,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2366041172.jpg,2016,2.5,292,3.10%,1.60%,2.60%,5.20%,0.876,
https://movie.douban.com/subject/2131669/,泰山归来：险战丛林 The Legend of Tarzan,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2367559705.jpg,2016,6,28619,5.80%,19.90%,49.70%,19.70%,0.049,tt0918940
https://movie.douban.com/subject/24529353/,绝地逃亡 Skiptrace,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2366057661.jpg,2016,5.5,54396,5.20%,14.20%,43.30%,27.20%,0.101,tt2238032
